Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D,D_SOD-323,108.345,-66.04,0,top
D2,D,D_SOD-323,128.27,-66.04,0,top
D3,D,D_SOD-323,87.63,-78.74,0,top
D4,D,D_SOD-323,104.14,-78.74,0,top
D5,D,D_SOD-323,119.38,-78.74,0,top
D6,D,D_SOD-323,134.62,-78.74,0,top
D7,D,D_SOD-323,149.86,-78.74,0,top
D8,D,D_SOD-323,77.47,-86.36,0,top
D9,D,D_SOD-323,77.47,-92.71,0,top
D10,D,D_SOD-323,85.485,-101.6,0,top
D11,D,D_SOD-323,93.98,-101.6,0,top
D12,D,D_SOD-323,102.87,-101.6,0,top
D13,D,D_SOD-323,111.76,-101.6,0,top
D14,D,D_SOD-323,121.92,-101.6,0,top
D15,D,D_SOD-323,132.08,-101.6,0,top
D16,D,D_SOD-323,141.365,-101.6,0,top
D17,D,D_SOD-323,149.86,-101.6,0,top
D18,D,D_SOD-323,158.75,-101.6,0,top
D19,D,D_SOD-323,167.64,-101.6,0,top
D20,D,D_SOD-323,176.53,-92.71,0,top
